#Recorded data from Servotor32
#datetime: 20-11-2020_20h-02m-01s
#filename: identity_tripod_x_b_sensors_closed_horizontal_air_unloaded_20-11-2020_20h-02m-01s.csv
#
#------------------------------------------------------
#Settings:
#
#Identity: 1
#Gait: tripod
#Feedback config: closed
#Sensors: horizontal
#Sensors cut: 0
#
#------------------------------------------------------
#Parameters:
#
#g=1.70
#y_bar=0.40
#a=5.00
#tau_x=0.13
#tau_b=0.20
#Y_max=0.95
#sensor_start=5
#dt=110ms
#direction=1.00
#ics_tau=0.85
#
#------------------------------------------------------
#Recording info:
#
#Ground: air
#Extra load: unloaded
#Tripod calibration: 0
#Surface: rubber
#Recorded datatype: int
#
#-calibration: for gait specific motor limits due to weight force
#-sensor_start: number of loops when feedback loop closes
#-sensor_start ensures starting stability for closed loop
#-because motors are in stance position at the start
#
#------------------------------------------------------
#Leg numbering:
#
#0: front left
#1: middle left
#2: back left
#3: back right
#4: middle right
#5: front right
#
#------------------------------------------------------
#Recorded variables:
#
#n: step count
#t: total time
#dt: step time
#delay: waiting time for calculation time to reach step time dt
#
#x_i: neural membrane
#b_v_i: neural bias (vertical)
#sensor_i: normalized sensor values
#
#------------------------------------------------------
#Calculated variables from recorded data:
#
#fb_i: membrane feedback unscaled
#y_v_i: neural activation (vertical)
#b_v_avg_i: neural bias average value (vertical)
#b_v_min: minimal neural bias value of current period
#b_v_max: maximal neural bias value of current period
#y_h_i: neural activation (horizontal)
#b_v_sens_h_i: vertical neural bias (via horizontal sensors)
#
#------------------------------------------------------
#File info:
#
##out marks the columns recorded on Servotor32
#Initial conditions in first row at n=-1
#
#------------------------------------------------------
#Data:#
#number,#out0, #out1, #out2, #out3, #out4, #out5, #out6, #out7, #out8, #out9, #out10, #out11, #out12, #out13, #out14, #out15, #out16, #out17, #out18, #out19, #out20, #out21
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
0,-1,-100,0,0,15300,0,0,0,0,0,11900,4250,4250,4250,4250,4250,980,520,26,42,557,1010
1,0,0,110,0,6669,0,0,0,0,0,11680,4030,4030,4030,4030,4030,990,527,39,14,521,990
2,1,113,110,9,1026,0,0,0,0,0,11460,3810,3810,3810,3810,3810,980,520,65,42,529,1000
3,2,230,111,9,150,0,0,0,0,0,11238,3588,3588,3588,3588,3588,1000,622,247,-42,457,940
4,3,342,110,10,23,0,0,0,0,0,11018,3368,3368,3368,3368,3368,1020,797,766,761,750,900
5,4,455,110,11,4,0,0,0,0,0,10798,3148,3148,3148,3148,3148,990,791,792,859,829,720
6,5,568,110,13,1,0,0,0,0,0,10578,2928,2928,2928,2928,2928,980,770,779,859,807,740
7,6,681,110,8,0,0,0,0,0,0,10358,2708,2708,2708,2708,2708,941,716,701,859,743,700
8,7,795,110,0,0,0,0,0,0,0,10138,2488,2488,2488,2488,2488,951,716,688,718,664,630
9,8,908,110,6,0,0,0,0,0,0,9918,2268,2268,2268,2268,2268,951,588,649,690,629,590
10,9,1021,110,4,0,0,0,0,0,0,9698,2048,2048,2048,2048,2048,931,514,532,592,557,450
11,10,1135,111,-1,0,0,0,0,0,0,9476,1826,1826,1826,1826,1826,951,459,506,465,443,410
12,11,1251,112,6,0,0,0,0,0,0,9252,1602,1602,1602,1602,1602,931,392,442,437,386,350
13,12,1363,110,5,0,0,0,0,0,1,9032,1382,1382,1382,1382,1383,902,345,403,338,314,240
14,13,1477,112,-2,0,1,0,1,1,10,8808,1159,1158,1158,1159,1160,902,284,351,310,293,280
15,14,1593,112,6,0,3,1,2,3,5,8584,936,934,935,936,943,843,223,312,254,229,170
16,15,1708,110,7,0,15,2,7,13,58,8364,721,720,719,720,733,873,189,182,197,193,170
17,16,1821,110,3,0,39,42,30,36,83,8144,505,523,505,529,530,833,203,130,183,121,150
